Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1284940800000)/,1JANATAMF,13,13.1,12.5,12.6,0,0,10323500,0,0,0,20/09/2010 00:00:00,1284940800000
/Date(1285027200000)/,1JANATAMF,12.8,13.2,12.7,12.9,0,0,3327500,0,0,0,21/09/2010 00:00:00,1285027200000
/Date(1285113600000)/,1JANATAMF,13,13.4,12.9,13,0,0,2765500,0,0,0,22/09/2010 00:00:00,1285113600000
/Date(1285200000000)/,1JANATAMF,13.3,13.4,13,13,0,0,2329000,0,0,0,23/09/2010 00:00:00,1285200000000
/Date(1285459200000)/,1JANATAMF,13,13.2,12.8,12.8,0,0,1608500,0,0,0,26/09/2010 00:00:00,1285459200000
/Date(1285545600000)/,1JANATAMF,12.7,13,12.6,12.6,0,0,1332000,0,0,0,27/09/2010 00:00:00,1285545600000
/Date(1285632000000)/,1JANATAMF,12.6,12.8,12.5,12.5,0,0,1293500,0,0,0,28/09/2010 00:00:00,1285632000000
/Date(1285718400000)/,1JANATAMF,12.5,12.6,11.5,12.3,0,0,1130500,0,0,0,29/09/2010 00:00:00,1285718400000
/Date(1285804800000)/,1JANATAMF,12.1,12.4,12.1,12.1,0,0,791500,0,0,0,30/09/2010 00:00:00,1285804800000
/Date(1286064000000)/,1JANATAMF,12.4,12.5,11.8,11.8,0,0,1189500,0,0,0,03/10/2010 00:00:00,1286064000000
/Date(1286150400000)/,1JANATAMF,12,12,11.7,11.8,0,0,882500,0,0,0,04/10/2010 00:00:00,1286150400000
/Date(1286236800000)/,1JANATAMF,11.8,12.7,11.6,12.2,0,0,1354500,0,0,0,05/10/2010 00:00:00,1286236800000
/Date(1286323200000)/,1JANATAMF,12.6,13,12.2,12.4,0,0,1925500,0,0,0,06/10/2010 00:00:00,1286323200000
/Date(1286409600000)/,1JANATAMF,12.2,12.4,11.7,11.9,0,0,1081500,0,0,0,07/10/2010 00:00:00,1286409600000
/Date(1286668800000)/,1JANATAMF,11.7,12,11.7,11.7,0,0,996500,0,0,0,10/10/2010 00:00:00,1286668800000
/Date(1286755200000)/,1JANATAMF,11.7,11.9,11.6,11.7,0,0,910500,0,0,0,11/10/2010 00:00:00,1286755200000
/Date(1286841600000)/,1JANATAMF,11.7,11.9,11.6,11.6,0,0,772500,0,0,0,12/10/2010 00:00:00,1286841600000
